type	from_id	from_name	post_message	picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes	likes_count_fb	comments_count_fb	comments_all	comments_base	comments_replies	shares	comment_likes	engagement	post_id	post_link
status	ce12a9bf67365f7b3b4e96d45cb4c0273816c40d	d8189e4ca790267a4fd487028a82620b3c8707d8					2015-12-15T02:56:06+0000	1450148166	2015-12-15 03:56:06	10	10	0	0	0	0	0	0	10	1645390789044342_1650232888560132	https://www.facebook.com/groups/1645390789044342/permalink/1650232888560132/
status	237cdcdf0c044003eedc242755e53f59a9112749	676c5666c67859cec8b662f2471c17225477e075	Tamaluco_ Renato?				2015-12-15T02:40:54+0000	1450147254	2015-12-15 03:40:54	0	0	5	5	4	1	0	1	6	1645390789044342_1650230645227023	https://www.facebook.com/groups/1645390789044342/permalink/1650230645227023/
status	ce12a9bf67365f7b3b4e96d45cb4c0273816c40d	d8189e4ca790267a4fd487028a82620b3c8707d8	Renato Fabbri made Caio Lucena and Vitor Grilo admins of the group Labicbr paralelo.				2015-12-15T02:50:42+0000	1450147842	2015-12-15 03:50:42	0	0	0	0	0	0	0	0	0	1645390789044342_1650232158560205	https://www.facebook.com/groups/1645390789044342/permalink/1650232158560205/
photo	237cdcdf0c044003eedc242755e53f59a9112749	676c5666c67859cec8b662f2471c17225477e075	Rio de Janeuraaaaa!	https://scontent.xx.fbcdn.net/hphotos-xtp1/v/t1.0-0/s130x130/12341595_1511128032514808_4837901199883941593_n.jpg?oh=057d22910671d2ad65bc123e58385928&oe=570F88B5	https://www.facebook.com/sgvaimudar/photos/a.1391702357790710.1073741827.1391702244457388/1511128032514808/?type=3	facebook.com	2015-12-15T02:48:18+0000	1450147698	2015-12-15 03:48:18	1	1	0	0	0	0	0	0	1	1645390789044342_1650231731893581	https://www.facebook.com/groups/1645390789044342/permalink/1650231731893581/
link	3a6d7f19de7db3e8155fb78901bc9e97f89eb2b5	afe6e1ebcab2d359d26627e7de7d068eac419e77	Subvenciones para proyectos culturales_ educativos o ambientales	https://external.xx.fbcdn.net/safe_image.php?d=AQA9VZa-8azQVXdP&w=130&h=130&url=http%3A%2F%2Fwww.recursosculturales.com%2Fwiwe%2Farchivos%2Fimagen%2FCONVOCATORIA_IMAGEN70037_443446d5efb332b09501e25d93a00ddd.png&cfs=1	http://www.recursosculturales.com/convocatorias/Subvenciones+para+proyectos+culturales%2C+educativos+o+ambientales+de+la+Fundaci%F3n+Nando+Peretti/70037?utm_content=buffer9a7a2&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer	recursosculturales.com	2015-12-14T23:58:01+0000	1450137481	2015-12-15 00:58:01	7	8	0	0	0	0	0	0	7	1645390789044342_1650207765229311	https://www.facebook.com/groups/1645390789044342/permalink/1650207765229311/
link	b107bd8ce75a069263b516e5a106a87db145c2a5	ac6db107f2f290c5023979b490b0f4a728db0c4b	_We_re looking for ten creative people to take part in a unique project based in Lagos_ Nigeria_ in March 2016. Playable City Lagos will explore playful interventions in a city of over 20 million people._	https://external.xx.fbcdn.net/safe_image.php?d=AQDnRrbFk_aD_VBx&w=130&h=130&url=http%3A%2F%2F2.bp.blogspot.com%2F-N_6s-7Apjvc%2FVmzsFhMtONI%2FAAAAAAAAWe8%2F-glv-HvrcYM%2Fs320%2Fplayableblog.jpg.740x494_q90_crop.jpg&cfs=1	http://africaunchained.blogspot.com/2015/12/applications-open-for-playable-city.html?utm_source=dlvr.it&utm_medium=twitter&m=1	africaunchained.blogspot.com	2015-12-14T17:42:50+0000	1450114970	2015-12-14 18:42:50	14	15	0	0	0	0	1	0	15	1645390789044342_1650145048568916	https://www.facebook.com/groups/1645390789044342/permalink/1650145048568916/
status	caa85fe99dc14bd8fdba63b2db81a7c516b89b45	6b292872dc351631fa653a402c1b86a65bdbdb27	Buenas! Esta tarde_ 19hs_ empezamos a compartir la experiencia del #LABiCBR con la gente que tenemos aquí cerquita. Nos juntaremos en un aula de la Universidad Nac de Río Negro para compartir todo lo que nos pasó durante esos 15 días. Queremos charlar y debatir sobre el _laboratorio ciudadano_ como formato intensivo que permite (y potencia) relaciones transdisciplinares para el trabajo colaborativo_ pensar en los labs como nuevos espacios de movilización y participación... OK_ los mantendremos informados si hay novedades. Abrazos para tod*s! Ingrid/Mariano.				2015-12-14T15:59:41+0000	1450108781	2015-12-14 16:59:41	27	27	4	4	4	0	0	4	35	1645390789044342_1650127341904020	https://www.facebook.com/groups/1645390789044342/permalink/1650127341904020/
status	8f1ec2c44e08cf4a209b2ea8ba51eec49e67a1e5	e826c034366373f34ee3a3142dd3d63740d07d10					2015-12-13T15:25:54+0000	1450020354	2015-12-13 16:25:54	52	52	17	17	10	7	0	15	84	1645390789044342_1649870955262992	https://www.facebook.com/groups/1645390789044342/permalink/1649870955262992/
link	ed27b55b79471d7ebe2651eb5293ab20bdd9e13c	40ac18721ff5e762bbc0460eccc45b960aa457d4	Yannick Yannick AFROPUNK 	https://external.xx.fbcdn.net/safe_image.php?d=AQDsEjY9pU6kku5i&w=130&h=130&url=http%3A%2F%2Fapi.ning.com%3A80%2Ffiles%2FUpexccZZ4rRC%2ALAC6Fq2PNVUq36%2A6ABO7ZDlEveKrJHgt5VxfAIqbz5lQRAoABRA7knPgIEqABTa5qoGxW1zBm4rLAUzp1UR%2F1161483723.jpeg&cfs=1&sx=59&sy=0&sw=360&sh=360	http://www.afropunk.com/video/popload-session-yannick-e-dj-sgrufs-afro-vs-justice	afropunk.com	2015-12-14T15:45:57+0000	1450107957	2015-12-14 16:45:57	0	0	0	0	0	0	0	0	0	1645390789044342_1650124435237644	https://www.facebook.com/groups/1645390789044342/permalink/1650124435237644/
link	3a6d7f19de7db3e8155fb78901bc9e97f89eb2b5	afe6e1ebcab2d359d26627e7de7d068eac419e77	El FCE busca escritores de libros de ciencia y tecnología	https://external.xx.fbcdn.net/safe_image.php?d=AQDRfgvM_x_yai74&w=130&h=130&url=http%3A%2F%2Fwww.elfinanciero.com.mx%2Ffiles%2Farticle_main%2F%2Ffiles%2Fcrop%2Fuploads%2F2014%2F01%2F31%2F52ebe8d536205.r_1449772735846.44-0-572-347.jpg&cfs=1	http://www.elfinanciero.com.mx/universidades/eres-escritor-el-fondo-de-cultura-economica-te-esta-buscando.html#.Vm4WIMG3EJE.facebook	elfinanciero.com.mx	2015-12-14T01:08:51+0000	1450055331	2015-12-14 02:08:51	6	6	0	0	0	0	1	0	7	1645390789044342_1649966435253444	https://www.facebook.com/groups/1645390789044342/permalink/1649966435253444/
